T_HEAT_LOW_C,AIRFLOW_PER_PERSON_M3H,T_HW_SUPPLY_MAX,T_STAIR_COLD_C,T_HW_EXT_HYST_C,T_BLOW_HEAT_C,E_total_kWh,E_heat_kWh,E_cool_kWh,E_fan_kWh,E_curtain_kWh,cost_eur,CO2_kg,T_comfort_pct,T_mild_pct,T_discomfort_pct,RH_comfort_pct,RH_mild_pct,RH_discomfort_pct,combined_comfort_pct,combined_mild_pct,combined_discomfort_pct,T_in_min,T_in_max
14.0,18.0,45.0,3.0,11.0,28.0,13332.298090832703,5521.052836929306,1164.6254922518146,5045.558450864727,1601.0613107868555,2250.4187285990906,359.3674095162889,43.005464480874316,45.7103825136612,11.284153005464482,58.48360655737706,19.248633879781423,22.26775956284153,25.013661202185794,42.77322404371585,32.213114754098356,12.118647797771631,30.18690537350781
14.0,18.0,45.0,3.0,11.0,30.0,13371.177548895806,5589.193320111609,1171.3662075191698,5009.556710478171,1601.0613107868555,2254.4887686538505,359.2351408299861,43.0327868852459,46.147540983606554,10.819672131147541,58.497267759562845,19.30327868852459,22.19945355191257,25.0,43.29234972677596,31.70765027322404,12.03608096610024,30.158793777295706
14.0,18.0,45.0,3.0,11.0,32.0,13457.29488652225,5708.353736890851,1163.1452845171589,4984.734554327386,1601.0613107868555,2271.6278821893857,362.1576935227652,43.01912568306011,46.775956284153004,10.204918032786885,58.48360655737706,19.2896174863388,22.226775956284154,25.0,43.83879781420765,31.161202185792348,11.999010707166807,30.19637764370178
14.0,18.0,45.0,3.0,13.0,28.0,13332.298090832703,5521.052836929306,1164.6254922518146,5045.558450864727,1601.0613107868555,2250.4187285990906,359.3674095162889,43.005464480874316,45.7103825136612,11.284153005464482,58.48360655737706,19.248633879781423,22.26775956284153,25.013661202185794,42.77322404371585,32.213114754098356,12.118647797771631,30.18690537350781
14.0,18.0,45.0,3.0,13.0,30.0,13371.177548895806,5589.193320111609,1171.3662075191698,5009.556710478171,1601.0613107868555,2254.4887686538505,359.2351408299861,43.0327868852459,46.147540983606554,10.819672131147541,58.497267759562845,19.30327868852459,22.19945355191257,25.0,43.29234972677596,31.70765027322404,12.03608096610024,30.158793777295706
14.0,18.0,45.0,3.0,13.0,32.0,13457.29488652225,5708.353736890851,1163.1452845171589,4984.734554327386,1601.0613107868555,2271.6278821893857,362.1576935227652,43.01912568306011,46.775956284153004,10.204918032786885,58.48360655737706,19.2896174863388,22.226775956284154,25.0,43.83879781420765,31.161202185792348,11.999010707166807,30.19637764370178
14.0,18.0,45.0,3.0,15.0,28.0,13332.298090832703,5521.052836929306,1164.6254922518146,5045.558450864727,1601.0613107868555,2250.4187285990906,359.3674095162889,43.005464480874316,45.7103825136612,11.284153005464482,58.48360655737706,19.248633879781423,22.26775956284153,25.013661202185794,42.77322404371585,32.213114754098356,12.118647797771631,30.18690537350781
14.0,18.0,45.0,3.0,15.0,30.0,13371.177548895806,5589.193320111609,1171.3662075191698,5009.556710478171,1601.0613107868555,2254.4887686538505,359.2351408299861,43.0327868852459,46.147540983606554,10.819672131147541,58.497267759562845,19.30327868852459,22.19945355191257,25.0,43.29234972677596,31.70765027322404,12.03608096610024,30.158793777295706
14.0,18.0,45.0,3.0,15.0,32.0,13457.29488652225,5708.353736890851,1163.1452845171589,4984.734554327386,1601.0613107868555,2271.6278821893857,362.1576935227652,43.01912568306011,46.775956284153004,10.204918032786885,58.48360655737706,19.2896174863388,22.226775956284154,25.0,43.83879781420765,31.161202185792348,11.999010707166807,30.19637764370178
14.0,18.0,45.0,5.0,11.0,28.0,13048.13710982206,4193.223553929478,1173.0197936824138,4998.222039430613,2683.671722779556,2197.632627347058,349.1071803251178,43.01912568306011,48.66120218579235,8.319672131147541,58.032786885245905,19.385245901639344,22.581967213114755,24.972677595628415,45.38251366120218,29.6448087431694,12.067908278475418,30.209692459208753
